Url,Property ID,Locality name,Postal code,Price,Type of property,Subtype of property,Type of sale,Bedrooms,Living area,Kitchen type,Furnished,How many fireplaces?,Terrace surface,Garden surface,Surface of the plot,Number of facades,Swimming pool,Building condition,Construction year,Street frontage width,Number of frontages,Surroundings type,Living room,Dressing room,Armored door,Land is facing street,Wooded land,Plot at rear,Flat land,Connection to sewer network,"Gas, water & electricity",Primary energy consumption,Energy class,CO₂ emission,Yearly theoretical total energy consumption,Heating type,Photovoltaic solar panels,Thermic solar panels,Common water heater,Double glazing,Planning permission obtained,Type of building,Obligation to build,Subdivision permit,Possible priority purchase right,Proceedings for breach of planning regulations,Flood zone type,Latest land use designation,Tenement building,Address,External reference
https://www.immoweb.be/en/classified/house/for-sale/nieuwpoort/8620/11136187,11136187,nieuwpoort,8620,645000,house,house,for-sale,2,237,1,0,0,12,,127,,0,As new,,,2,Urban,,,,,,,,,,,,,,Gas,,,,,1,,,0,0,0,,"Living area (residential, urban or rural)",0,Albert I-laan 173/J,D8620-24004
https://www.immoweb.be/en/classified/apartment-block/for-sale/herstal/4040/11136189,11136189,herstal,4040,275000,house,apartment-block,for-sale,4,201,1,0,0,42,,622,,0,Good,,,2,,,,,,,,,,0,276,D,,26207 kWh/year,Gas,,,,1,,,,,,,,,1,Rue Arnold Delsupexhe 103,560127 - 76102766
https://www.immoweb.be/en/classified/apartment/for-sale/vilvoorde/1800/11136186,11136186,vilvoorde,1800,235000,appartment,apartment,for-sale,2,82,1,0,0,,,,,0,Just renovated,1937,,2,,,,,,,,,,,346,D,,,Gas,,,,1,1,,,,1,,Non flood zone,"Living area (residential, urban or rural)",0,James Ensorlaan 39,1980790 - 1798
https://www.immoweb.be/en/classified/mansion/for-sale/bruxelles-ville/1000/11001180,11001180,bruxelles-ville,1000,2400000,house,mansion,for-sale,3,748,1,0,0,,,100,,0,As new,,,2,,1,1,,,,,,,1,147,C,,,Gas,,,,1,1,,,,,,,,,Avenue Capouillet 58 A,
https://www.immoweb.be/en/classified/house/for-sale/duffel/2570/11136183,11136183,duffel,2570,319000,house,house,for-sale,2,120,1,0,0,,,141,,0,Good,,,2,,,,,,,,,,1,287,C,,,Gas,,,,1,,,,,,,Non flood zone,"Living area (residential, urban or rural)",0,Bergstraat 184,5144 - 1346
https://www.immoweb.be/en/classified/house/for-sale/brussels/1000/11055099,11055099,brussels,1000,535000,house,house,for-sale,3,130,1,0,0,,,,,0,Just renovated,,,2,,,0,0,0,0,0,0,Connected,1,,F,,,Gas,0,0,1,1,,All kind,,,,,,,0,,
https://www.immoweb.be/en/classified/farmhouse/for-sale/eede/4529%20GK/11136190,11136190,eede,4529%20GK,569000,house,farmhouse,for-sale,4,170,1,0,0,,,15920,,0,Good,,,,,1,,,,,,,,,,,,,Gas,1,,1,1,,,,,,,,,0,Markstraat 43,
https://www.immoweb.be/en/classified/duplex/for-sale/hove/2540/11136194,11136194,hove,2540,420000,appartment,duplex,for-sale,2,120,0,0,0,,,,,0,,,13 m,,,,,,,,,,,,222,C,,,Gas,,,,1,,,,,0,,Non flood zone,,0,Houtestraat 62,1309 - 11021123
https://www.immoweb.be/en/classified/house/for-sale/moerkerke/8340/11136204,11136204,moerkerke,8340,459000,house,house,for-sale,3,182,1,0,0,,,556,,0,,1989,,4,Isolated,,,,,,,,Connected,,286,C,,,,,,,1,1,,,,0,0,Non flood zone,Extended residential area,0,Monnikeredestraat 11,5864270
https://www.immoweb.be/en/classified/house/for-sale/quaregnon/7390/11136206,11136206,quaregnon,7390,149000,house,house,for-sale,3,152,1,0,0,,,250,,0,To be done up,,,2,,,,,,,,,,,507,F,,76968 kWh/year,Gas,,,,,,,,,,,,,0,"Boulevard Kennedy, 69",5864235
